402	Ramaswamy	0101000020E61000000B78FC8B5E105440EC74F76B78132A40
406	V House	0101000020E61000002AE9FE3DBA11544030A017EE5C1A2A40
407	Ice House	0101000020E6100000994869368F115440C5909C4CDC1A2A40
408	Measipet Market	0101000020E610000021F7001F34115440E063B0E2541B2A40
409	New College	0101000020E61000001714822CB6105440C275BD1BA81B2A40
411	Gemini	0101000020E6100000DDD7BB1ED00F54405453B383211B2A40
416	Vadapalani	0101000020E6100000652C056A920D5440A0C5CEEBBA172A40
418	Avichi	0101000020E61000005FE9BE94A80C54406D8B743736182A40
419	Virugambakkam	0101000020E6100000D625FCB5290C54409623852EB8172A40
420	Alwar Thirunagar	0101000020E610000090550042DA0B54406DA27D49B6162A40
421	Kesavardhini	0101000020E61000002587FCF1660B5440B912895B68152A40
422	Valasaravakkam	0101000020E6100000A9CCFF71230B54402B199D7FFD142A40
423	Lakshmi Nagar	0101000020E6100000109504B09A0A5440E895FC998B132A40
424	Karambakkam	0101000020E6100000FDF103FC3F0A54406FE0A33826132A40
425	Porur	0101000020E6100000546AFEB1F3095440C7F5EFFACC112A40
428	Kattupakkam	0101000020E610000092267BD722085440729A91830A152A40
429	Kumananchavadi	0101000020E6100000DA5B04A56C0754407464A37BEF162A40
1037	Ambattur OT	0101000020E61000002CBCCB457C0954403B8DB454DE3E2A40
430	Karayanchavadi	0101000020E6100000079FFF8126075440E08A1FBEA7172A40
432	Mosque Road	0101000020E6100000371AC05B6006544063D431BE9A192A40
434	Karayanchavadi	0101000020E6100000FC2645121A07544049CF9959F0172A40
436	Kattupakkam	0101000020E6100000E1F33FD03C0854408DAA7015D5142A40
437	Ayyapanthangal Bus Depot	0101000020E6100000F5BF3B7DAD08544092A1197A7A132A40
438	SRM College	0101000020E6100000D828EB371309544092088D60E3122A40
439	Porur	0101000020E61000008E18030CC709544001CEBD4DA0122A40
440	Karambakkam	0101000020E610000013A9FE7BCF095440A41563899C122A40
441	Lakshmi Nagar	0101000020E6100000FD3CFCEB8B0A544035E1EA42A4132A40
442	Valasaravakkam	0101000020E6100000B863034C0D0B5440DAEEB304F8142A40
443	Kesavardhini	0101000020E61000008C2C9963790B5440F697DD9387152A40
444	Alwar Thirunagar	0101000020E6100000DFAD0352E80B54402525B9D308172A40
445	Virugambakkam	0101000020E6100000897D0228460C5440D6AD9E93DE172A40
446	Avichi	0101000020E61000009D010549A50C54402231076255182A40
452	Gemini	0101000020E61000000591FB0CDE0F54402EA91C8B541B2A40
454	New College	0101000020E6100000C7A501EEBF1054403D2122D2C21B2A40
455	Measipet Market	0101000020E6100000F7C101463A115440912B71F4631B2A40
456	Ice House	0101000020E6100000123403E879115440B9C8DA32221B2A40
457	V House	0101000020E61000008D0E48C2BE115440CB2BD7DB661A2A40
464	Yellow Pages/VM Street	0101000020E6100000B729FD082C11544073744B6194162A40
465	Valluvar Salai	0101000020E6100000BAE602552B115440D0436D1B46152A40
466	Luz	0101000020E61000002D37416922115440FBF664B444132A40
468	RK-PS Higher Secondary School	0101000020E61000008FFBFB3112115440F3BF64FC5E0F2A40
470	Post Office RK Madam	0101000020E6100000619204C0FC105440F8FEE5DEEC0C2A40
471	Ranimeyammai	0101000020E6100000482402BCE2105440816A30CBA60B2A40
479	Besant Nagar	0101000020E61000003BCE44430C115440DE3CF62F20002A40
480	Besant Nagar Church	0101000020E61000005911FB251E115440B58185DDC1FD2940
481	RBI Quarters	0101000020E610000066CDFA5AF8105440FA071545DDFD2940
484	Narayaswami	0101000020E6100000971DC111CD105440201573CE570A2A40
485	Ranimeyammai	0101000020E6100000B7DE0419E0105440BE423058BB0B2A40
486	Mandaveli Bus Stand	0101000020E61000002F302B14E910544015191D90840D2A40
487	Mandaveli Market	0101000020E61000006EFB3F0301115440FC79E8F5060F2A40
488	Mylapore Tank	0101000020E6100000596E6935241154405322895E46112A40
491	AVM	0101000020E6100000744E8106FA105440233BE3B9C6162A40
492	Woodlands	0101000020E6100000A6F27684D3105440247CEF6FD0162A40
493	Chola	0101000020E6100000452FA3586E10544018B5FB5580172A40
494	Stella Maris	0101000020E610000090A2CEDC4310544013D21A834E182A40
495	Gemini	0101000020E6100000E82E89B3221054408E075BECF6192A40
496	Ispahani	0101000020E6100000CAB9FBB9F40F5440F9821612301C2A40
497	Thanji	0101000020E610000093CBFB0FDB0F544011B38FFC5E1E2A40
498	Sterling Road	0101000020E6100000AC3CFD77AF0F5440CF1311F6D41F2A40
502	Meghala	0101000020E6100000253CC2E508105440F52B2148732C2A40
503	Arisamalai	0101000020E610000016DD7A4D0F1054403160C9552C2E2A40
504	Saravana	0101000020E6100000F6A402DD0D105440F110632528302A40
505	Otteri	0101000020E6100000E091C20615105440F45A4388AF312A40
506	Mill Gate	0101000020E6100000445A7C6D2A105440300043458B342A40
507	Metupalayam	0101000020E6100000345B05732C1054400200D780CE352A40
508	Jamalia	0101000020E610000083DBDAC2F30F54404415FE0C6F362A40
509	Perambur Depot	0101000020E610000046070353B60F544011CA980EDF362A40
511	Metupalayam	0101000020E610000046EC13403110544081CEA44DD5352A40
512	Otteri	0101000020E61000003B78FDB417105440360D6167D0312A40
513	Saravana	0101000020E610000093FE5E0A0F105440BC40498105302A40
514	Arisamalai	0101000020E610000062122EE411105440EFC7ED974F2E2A40
515	Meghala	0101000020E61000009801C2E20B105440F439359F8C2C2A40
516	Purusawalkam	0101000020E6100000DFC4909C4C10544056D636C5E32A2A40
518	Naval Institute	0101000020E610000026F3FA59CD0F54408A2EB99BF1272A40
519	KMC	0101000020E6100000EE4108C8970F5440C24F1C40BF272A40
520	Chetpet	0101000020E61000003402BF807D0F54405A6EFE9920242A40
522	Sterling Road	0101000020E6100000B408FF01DA0F54400337180BBF1F2A40
524	US Embassy	0101000020E61000001BBAD91F281054400E164ED2FC192A40
526	Stella Maris	0101000020E6100000BBD1C77C40105440C3633F8BA5182A40
527	Chola	0101000020E6100000FD92015E6E1054408F603643A2172A40
528	Woodlands	0101000020E61000005CD1FFD5D71054407A2E9D20FB162A40
529	AVM	0101000020E6100000D5FCBEA00111544010E24E12E0162A40
530	Yellow Pages/VM Street	0101000020E6100000727FFD2938115440BDD2E8C4D4162A40
531	Kalyani	0101000020E610000008D6C4447B115440C77E586763162A40
532	IG Office/Queen Marys College	0101000020E61000002A5EC026C61154406025DD9E39162A40
533	Pudupet	0101000020E610000007600322041154409E74A6F9F8422A40
534	Santhome Employment Exchange	0101000020E6100000F1F30092C0115440C07C9154CF0F2A40
536	Foreshore Estate	0101000020E61000005D6DC5FEB21154401C615111A70B2A40
538	Santhome Employment Exchange	0101000020E610000010657F0BB8115440186E2B838B0F2A40
541	Queen Marys College	0101000020E6100000C0CDE2C5C2115440429770E82D162A40
542	Kalyani	0101000020E610000022E5828E71115440AF5CF3D34D162A40
543	Yellow Pages/VM Street	0101000020E6100000D37901B435115440BAEE94ABAB162A40
545	Woodlands	0101000020E6100000E11603569410544083D53F253A172A40
553	Pudupet	0101000020E610000007600322041154409840BE42EE232A40
554	Commissioner Office	0101000020E610000028EEFCCBC31054406341E5884A252A40
557	Baby Hospital	0101000020E6100000AD0E04F18F1054405E8EAA68A4262A40
558	Dasaprakash	0101000020E6100000DA51FFCD49105440EBE9C0C5CC282A40
559	Lauder Gate	0101000020E610000050AD3A8246105440C2815681D6292A40
561	Kellys	0101000020E6100000C6AAFF7BC90F5440D905A479D72B2A40
568	Kambarangam	0101000020E6100000FB58038C150E544048A34443AD322A40
